SampleID,Short Description,Biomass.Type,Class,Subclass,State,Location.Notes,LinkRef,Source,Full Description,Notes,Field11,Field12,Mod_By,Last_Mod,Moist ar,Moist ad,Ash ar,Ash ad,Ash db,VM ar,VM ad,VM db,VM daf,FC ar,FC ad,FC db,FC daf,CV MJ/kg ar,CV MJ/kg ad,CV MJ/kg db,CV MJ/kg daf,CV kcal/kg ar,CV kcal/kg ad,CV kcal/kg db,CV kcal/kg daf,C ar,C ad,C db,C daf,H ar,H ad,H db,H daf,N ar,N ad,N db,N daf,S ar,S ad,S db,S daf,O ar,O ad,O db,O daf,Cl mg/kg ar,Cl mg/kg ad,Cl mg/kg db,Cl mg/kg daf,Analysis.Note.1,Na2O,MgO,Al2O3,SiO2,P2O5,K2O3,CaO,TiO2,Mn3O4,Fe2O3,Other,FileNameRef,Extension,Data Sources,SSC_NAME16,STE_NAME16,Longitude,Latitude
1,Radiata pine chips,Industrial Processing,Timber industry,Woodchips (Softwood),NSW,Hunter Valley,1,B2,Radiata pine chips,Macquarie Generation (April 1999). (John Marcheff / Alan Macpherson / Jim Beckwith). (From Hunter Valley Sawmills for Liddell Test),pine,chips,SSH,8/09/2020,41.2,9.4,0.6,1,1.1,47.6,73.4,81,81.9,10.6,16.2,17.9,18.1,12.08,18.62,20.55,20.78,2886,4448,4908,4964,28.6,44,48.6,49.1,3.68,5.67,6.26,6.33,0.12,0.18,0.2,0.2,0.01,0.01,0.01,0.01,25.79,39.74,43.83,44.36,65,100,110,111.22,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",0.84,4.93,4.73,16.1,0.39,4.15,32.6,0.48,0.91,3.63,31.24,1,JPG,,Hunter Valley,New South Wales,151.7006,-32.1932
3,Dynamic lifter pellets (from chicken manure),Agricultural,Animal farming,Chicken manure pellets,NSW,NSW,3,B36,Yates dynamic lifter pellets (garden product derived from chicken manure) - Commercial product,Yates pellets - Commercial product (May 2000),other,any,SSH,8/09/2020,18.9,9.8,26.5,29.5,32.7,45.6,50.7,56.2,83.5,9,10,11.1,16.5,10.06,11.19,12.41,18.43,2402,2672,2964,4402,24.4,27.1,30,44.6,3.17,3.53,3.91,5.82,3.19,3.55,3.94,5.85,0.58,0.65,0.72,1.07,23.26,25.87,28.73,42.66,4765,5300,5875.83,8730.8,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",1.63,3.91,2.68,22.7,18.3,7.4,35.4,0.19,0.26,1.9,5.63,18,JPG,,New South Wales,New South Wales,,
4,Biosolids,Urban Waste,Biosolids,Treated biosolids,NSW,Quakers Hill,4,B3,Biosolids (Sewerage Sludge - dried 110C),S. Miller (Quakers Hill - dried 110C) (March 1999),other,other,SSH,8/09/2020,8.1,7.1,39.4,39.8,42.8,47.8,48.3,52,91,4.7,4.8,5.2,9,11.63,11.76,12.66,22.15,2778,2808,3024,5290,22.7,22.9,24.7,43.2,4,4.04,4.35,7.61,4.23,4.28,4.61,8.06,0.61,0.62,0.67,1.17,20.96,21.26,22.87,39.96,683,690,742.73,1298.49,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",0.37,1.73,12.8,28.9,15.5,1.35,2.48,0.69,0.15,25.7,10.33,22,JPG,,Quakers Hill,New South Wales,150.8889793,-33.72839216
5,Paper sludge,Industrial Processing,Paper industry,Paper sludge,NSW,AMCOR,5,B4,Paper sludge (dried at 105C),S. Miller (AMCOR - dried 105C) (March 1999),other,other,SSH,8/09/2020,7.8,4.9,24.1,24.9,26.2,59.2,61.1,64.2,87,8.9,9.1,9.6,13,13.04,13.45,14.14,19.16,3114,3212,3378,4576,29.9,30.8,32.4,43.9,4.58,4.72,4.96,6.72,0.44,0.45,0.47,0.64,0.16,0.17,0.17,0.23,33,34.1,35.8,48.51,863,890,936,1268.29,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",0.27,2.56,22.2,33.9,0.41,0.55,18.1,1.91,0.03,2.06,18.01,26,JPG,,AMCOR,New South Wales,,
6,Cotton seed hulls,Industrial Processing,Cotton Industry,Cotton seed hulls,NSW,Narrabri,6,B5,Cotton seed hulls,S. Joseph (Biomass Energy Service & Technology). (From Narrabri) (March 1999),cotton,other,SSH,8/09/2020,11.6,8.3,1.6,1.7,1.9,68.8,71.4,77.9,79.3,18,18.6,20.2,20.7,16.16,16.76,18.28,18.62,3860,4004,4366,4448,28.7,29.8,32.5,33.1,5.32,5.52,6.02,6.13,0.4,0.41,0.45,0.46,0.04,0.05,0.05,0.05,52.3,54.2,59.08,60.26,318,330,360,366.97,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.6.3.3, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",0.57,6.68,0.75,3.6,2.83,37.4,4.17,0.05,0.07,0.91,42.97,30,JPG,,Narrabri,New South Wales,149.7709993,-30.21985604
7,Rice hulls,Industrial Processing,Rice industry,Rice hulls,NSW,Yanco,7,B11,Rice hulls (long grain variety: Langi),"Tony Blakeney (BRI), Yanco Research Station plot, Long grain, May 1999",rice,other,SSH,8/09/2020,10,8.5,23.5,23.9,26.1,52.9,53.8,58.8,79.6,13.6,13.8,15.1,20.4,12.61,12.82,14.01,18.96,3012,6062,3346,4528,28,28.4,31.1,42.1,4.13,4.2,4.59,6.21,0.25,0.25,0.27,0.37,0.04,0.04,0.04,0.05,34.1,34.7,37.9,51.27,482,490,536,725.3,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",0.12,0.36,0.28,88.9,0.27,1.67,0.38,0.01,0.13,0.49,7.39,34,JPG,,Yanco,New South Wales,146.4018542,-34.62489477
8,Green waste,Urban Waste,Green waste,Raw Green waste,NSW,Kembla Grange,8,B18,Kerbside green waste (mainly lawn clippings),"Whytes Gully Waste Depot (JDS collected, July 1999), Mainly lawn clippings : Ian Foreman - Wollongong City. Council Centre, Reddals Road, Kembla Grange)",other,other,SSH,8/09/2020,81.6,8.7,9.8,48.8,53.5,6.2,30.6,33.5,72,2.4,11.9,13,28,1.81,8.97,9.82,21.11,432,2142,2346,5042,4,19.9,21.7,46.7,0.44,2.16,2.37,5.08,0.34,1.69,1.85,3.98,0.12,0.58,0.64,1.38,3.7,18.17,19.94,42.86,2459,12200,13360,28731.18,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",1.61,1.81,7.56,62.4,2.51,5.25,4.91,0.79,0.15,4.35,8.66,38,JPG,,Kembla Grange,New South Wales,150.7992,-34.4638
9,Bagasse,Industrial Processing,Sugar industry,Bagasse,NSW,NSW,9,B23,Bagasse (residues after sugar extraction),Fresh bagasse recoversd on belt between extraction and combustion by Bruce Lamb & JDS (9 July 1999),sugar_cane,other,SSH,8/09/2020,61.5,6.6,12.3,29.9,32,21.6,52.3,56,82.4,4.6,11.2,12,17.6,5.14,12.47,13.35,19.64,1228,2978,3188,4690,11.9,29,31,45.7,1.57,3.82,4.09,6.02,0.23,0.57,0.61,0.9,0.03,0.07,0.07,0.1,12.5,30.04,32.23,47.28,54,130,139,204.41,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",1.56,1.02,10.8,72.5,0.39,2.79,1.34,0.67,0.13,3.46,5.34,42,JPG,,New South Wales,New South Wales,,
10,Sugar cane trash,Agricultural,Crop farming,Sugar cane trash,NSW,NSW,10,B24,Sugar cane trash (fresh cane tops),Fresh trash (tops) collected by Bill & JDS. Typical of fuel to be collected in Bruce Lamb SERDF project (9 July 99),sugar_cane,other,SSH,8/09/2020,80.1,7.4,9.6,44.6,48.2,7.8,36.4,39.3,75.8,2.5,11.6,12.5,24.2,2.12,9.86,10.65,20.54,506,2356,2544,4906,4.7,21.6,23.4,45.1,0.6,2.78,3,5.79,0.21,0.99,1.07,2.06,0.03,0.14,0.15,0.29,4.8,22.49,24.18,46.76,838,3900,4212,8131.27,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",1.43,1.56,10.3,69.5,0.85,4.37,1.81,0.73,0.31,3.87,5.27,46,JPG,,New South Wales,New South Wales,,
11,Pine sawmill waste (softwood),Industrial Processing,Timber industry,Residues (Softwood),NSW,Oberon,11,B30,"Pine sawmill waste, 1-2mm residues",From Oberon Timbermill NSW,pine,other,SSH,8/09/2020,11.9,8.7,0.2,0.2,0.2,75.3,78,85.4,85.6,12.6,13.1,14.4,14.4,16.74,17.35,19,19.05,3998,4144,4538,4550,41,42.5,46.6,46.7,5.7,5.91,6.47,6.49,0.13,0.13,0.14,0.14,0.01,0.01,0.01,0.01,41.1,42.5,46.58,46.66,,,20,20.04,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.Note that Chlorine was below the lower detection limit of 40mg/kg. A value of 20mg/kg (db) has been entered to allow for correct average calculations",0.22,9.08,4,12.9,2.67,23.3,15.2,0.12,4.12,1.55,26.84,50,JPG,,Oberon,New South Wales,149.8493297,-33.69270116
14,Green waste,Urban Waste,Green waste,Green waste chips,NSW,Kimbriki,14,B6,Green waste (mainly tree prunings),"Kimbriki waste station, NSW. Sample taken during the summer of 2000.",other,other,SSH,8/09/2020,11.3,7.6,1.4,1.5,1.6,73.3,76.4,82.7,84,14,14.5,15.7,16,16.78,17.48,18.92,19.23,4008,4176,4518,4594,42.4,44.2,47.8,48.6,5.3,5.52,5.97,6.07,0.12,0.13,0.14,0.14,0.02,0.02,0.02,0.02,39.46,41.03,44.47,45.17,192,200,216,219.51,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.7. Total sulfur and chlorine in coal were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",1.77,3.06,7.53,53,1.06,2.35,8.62,0.95,0.24,17.5,3.92,62,JPG,,Kimbriki,New South Wales,152.2107722,-31.92521006
15,Hardwood,Forestry,Stem,Hardwood (Blackbutt),NSW,NSW,15,B8,Hardwood (blackbutt),"John Saxby got the sample. No specific contact details available, except that its NSW (March 1999)",other,chips,SSH,8/09/2020,11.9,7.6,0.4,0.4,0.4,74.4,78,84.4,84.8,13.3,14,15.2,15.2,17.04,17.87,19.34,19.42,4070,4268,4620,4638,43.1,45.2,48.9,49.1,5.33,4.59,6.05,6.08,0.1,0.11,0.12,0.12,0.01,0.01,0.01,0.01,39.16,42.09,44.52,44.69,19,20,22,22.09,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.7. Total sulfur and chlorine in coal were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",2.39,4.32,8.47,37.3,2.68,3.92,13.8,0.42,0.57,22.7,3.43,66,JPG,,New South Wales,New South Wales,,
16,Rice hulls / Chicken compost,Agricultural,Mixed,Chicken manure and rice hulls,NSW,NSW,16,B9,Mixture of Rice hulls & Chicken Compost,Sampled sourced by John Saxby (CSIRO ET). No specific contact details are available. (March 1999),other,other,SSH,8/09/2020,41.6,13.2,18.5,27.5,31.7,30,44.6,51.4,75.2,9.9,14.7,16.9,24.8,7.88,11.71,13.49,19.75,1882,2796,3222,4718,18.3,27.2,31.3,45.9,2.44,3.63,4.18,6.12,2.37,3.52,4.06,5.94,0.47,0.7,0.81,1.19,16.3,24.25,27.95,40.85,7540,11200,12900,18887.26,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.7. Total sulfur and chlorine in coal were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",3.04,4.97,1.18,28.9,24.6,9.22,20.2,0.07,0.31,1.36,6.15,70,JPG,,New South Wales,New South Wales,,
17,Rice straw,Agricultural,Crop farming,Rice straw,NSW,Yanco,17,B13,Rice straw (long grain variety: Langi),Yanko NSW Australia. John Saxby CSIRO ET sourced this sample.,rice,other,SSH,8/09/2020,13.6,8.4,16.7,17.7,19.3,57.9,61.4,67,83.1,11.8,12.5,13.7,16.9,12.72,13.49,14.73,18.25,3038,3222,3518,4358,32.1,34,37.1,46,4.37,4.63,5.05,6.27,0.47,0.5,0.55,0.68,0.05,0.05,0.05,0.06,32.7,34.7,37.95,46.99,3301,3500,3821,4734.82,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.7. Total sulfur and chlorine in coal were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",0.3,1.43,0.51,77.7,0.29,8.67,1.86,0.03,0.32,2.82,6.07,74,JPG,,Yanco,New South Wales,146.4018542,-34.62489477
18,Rice grain,Industrial Processing,Rice industry,Rice grain,NSW,Yanco,18,B15,Brown rice grain (long grain variety: Langi),"Yanko NSW Australia. Sample sourced by John Saxby, CSIRO ET. ",rice,other,SSH,8/09/2020,10.1,12.2,1.5,1.5,1.7,78.4,76.6,87.2,88.8,10,9.7,11.1,11.2,16.41,16.03,18.26,18.57,3920,3828,4362,4436,38.9,38,43.3,44,6.08,5.94,6.77,6.88,1.23,1.2,1.37,1.39,0.07,0.07,0.08,0.08,42.12,41.09,46.78,47.65,307,300,342,347.91,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.7. Total sulfur and chlorine in coal were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",0.06,14,0.3,6.5,48.5,21.1,0.93,0.025,0.34,0.2,8.04,78,JPG,,Yanco,New South Wales,146.4018542,-34.62489477
19,Wheat grain,Industrial Processing,Wheat industry,Wheat grain,NSW,NSW,19,B22,Wheat grain (variety: Tarango),"NSW Australia. John Saxby CSIRO ET sourced this sample, however, no specific contact details are available.",wheat,other,SSH,8/09/2020,9.5,12.1,1.5,1.5,1.7,75.9,73.7,83.8,85.3,13.1,12.7,14.5,14.7,16.8,16.32,18.57,18.89,4012,3898,4436,4512,39.5,38.4,43.7,44.4,6.06,5.89,6.7,6.82,1.9,1.85,2.1,2.14,0.11,0.1,0.12,0.12,41.4,40.16,45.68,46.52,731,710,808,821.97,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.7. Total sulfur and chlorine in coal were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",0.06,14.4,0.08,1.09,46.7,30.4,4.14,0.01,0.37,1.4,1.35,82,JPG,,New South Wales,New South Wales,,
20,Pine chips (softwood),Industrial Processing,Timber industry,Sawdust (Softwood),NSW,Oberon,20,B32,Pine chips,From Oberon Timbermill,pine,chips,SSH,8/09/2020,12.4,7,0.7,0.7,0.8,73,77.5,83.3,84,13.9,14.8,15.9,16,17.03,18.08,19.44,19.59,4068,4318,4644,4678,42.8,45.4,48.8,49.2,5.44,5.78,6.22,6.26,0.11,0.12,0.13,0.13,0.02,0.02,0.02,0.02,38.5,40.98,44.03,44.39,94,100,108,108.87,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.7. Total sulfur and chlorine in coal were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",1.26,5.85,7.59,28.4,5.18,14.9,10.5,0.63,1.58,16.1,8.01,86,JPG,,Oberon,New South Wales,149.8493297,-33.69270116
21,Mimosa pigra,Industrial Processing,Timber industry,Residues (Mimosa pigra),NT,Adelaide River Floodplain,31,B64,Mimosa pigra (Woody weed). Hammermilled sample,"Obtained from BEST, Somersby 43404911 (Tim Denniss). The sample was harvested approx September 1998 from around the Adelaide river floodplain in the NT. No idea of soil conditions except that it is a floodplain",other,other,SSH,8/09/2020,10.9,8.6,3.6,3.7,4,71.9,73.8,80.7,84.2,13.6,13.9,15.3,15.8,16.92,17.36,18.99,19.79,4042,4146,4536,4726,43.7,44.8,49,51.1,5.07,5.2,5.69,5.93,0.34,0.35,0.38,0.4,0.08,0.08,0.09,0.09,36.3,37.3,40.84,42.48,858,880,963,1003.13,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.7. Total sulfur and chlorine in coal were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",0.92,2.29,3.6,58.8,0.87,5.3,7,0.83,0.14,9.3,10.95,444,JPG,,,Northern Territory,131.1036,-13.2361
22,Blue gum bark,Forestry,Bark,Hardwood (Eucalyptus),VIC,Shepparton,32,B75,Eucalyptus Globulus (blue gum) bark. Sample was a 3 yr growth in a short rotation crops (SRC) effluent irrigated trial in Shepparton Victoria.,"Sample sent by Tom Baker, Centre for Forest Tree Technology. Tom has been doing trials at shpperton for at least 9 years, was helpful in providing samples. This sample is the bark from short rotation crops (SRC) trial in Shepparton. Harvested Sep 2002.",Eucalypt,bark,SSH,8/09/2020,24.1,9.5,1.3,1.6,1.8,60.8,72.5,80.1,81.6,13.8,16.4,18.1,18.4,14.06,16.77,18.53,18.86,3358,4006,4426,4504,36.2,43.2,47.7,48.6,4.35,5.19,5.73,5.84,0.24,0.29,0.32,0.33,0.29,0.34,0.38,0.39,33.52,39.88,44.07,44.84,193,230,254,258.66,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.7. Total sulfur and chlorine in coal were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",6.1,7,0.59,1.44,5,18.3,12.1,0.43,0.14,1.74,47.16,453,JPG,,Shepparton,Victoria,145.3977618,-36.3723079
23,Blue gum leaves,Forestry,Leaf/twig,Hardwood (Eucalyptus),VIC,Shepparton,33,B67,Eucalyptus Globulus (blue gum) leaves. Sample was a 3 yr growth in a short rotation crop (SRC) effluent irrigated trial in Shepparton.,"Sample sent by Tom Baker, Centre for Forest Tree Technology. Tom has been doing trials at shpperton for at least 9 years, was helpful in providing samples. The harvester that helped obtain sample was Jim Robinso.",Eucalypt,leaves,SSH,8/09/2020,22.3,11,3.1,3.5,3.9,59.5,68.2,76.6,79.8,15.1,17.3,19.5,20.2,17.61,20.17,22.66,23.59,4206,4818,5412,5634,42.8,49,55.1,57.3,4.72,5.41,6.08,6.33,1.55,1.78,2,2.08,0.31,0.36,0.4,0.42,25.22,28.95,32.52,33.87,873,1000,1123.6,1169.19,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.6.3.3, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",11.9,7.6,0.95,3.74,6.1,17.5,18.3,0.07,0.46,0.8,32.58,462,JPG,,Shepparton,Victoria,145.3977618,-36.3723079
24,Blue gum branches,Forestry,Leaf/twig,Hardwood (Eucalyptus),VIC,Shepparton,34,B68,Eucalyptus Globulus (blue gum) branches. Sample was a 3 yr growth in a short rotation crop (SRC) effluent irrigated trial in Shepparton,"Sample sent by Tom Baker, Centre for Forest Tree Technology. Tom has been doing trials at shpperton for at least 9 years, was helpful in providing samples. The harvester that helped obtain sample was Jim Robinso.",Eucalypt,twigs,SSH,8/09/2020,48.4,9.8,0.9,1.6,1.8,41.4,72.4,80.3,81.7,9.3,16.2,17.9,18.3,9.93,17.35,19.24,19.58,2372,4144,4596,4676,25.5,44,48.9,49.8,2.99,5.23,5.8,5.9,0.22,0.39,0.43,0.44,0.14,0.25,0.28,0.29,21.85,38.73,42.79,43.57,189,330,365.85,372.56,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.6.3.3, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",10,7.6,0.46,1.01,3.6,17.7,17.9,0.44,0.35,4,36.94,471,JPG,,Shepparton,Victoria,145.3977618,-36.3723079
25,Blue gum whole tree chips,Forestry,Mixed,Hardwood (Eucalyptus),VIC,Shepparton,35,B69,"Eucalyptus Globulus (blue gum) whole tree wood chips, includes wood, branches, leaves and sticks. Sample was a 3 yr growth in a short rotation crop (SRC) effluent irrigated trial in Shepparton.","Sample sent by Tom Baker, Centre for Forest Tree Technology. Tom has been doing trials at shpperton for at least 9 years, was helpful in providing samples. The harvester that helped obtain sample was Jim Robinso.",Eucalypt,tree,SSH,8/09/2020,57.5,9.2,0.6,1.2,1.3,34.9,74.6,82.2,83.3,7,15,16.5,16.7,8.25,17.63,19.41,19.67,1970,4208,4636,4698,21.1,45,49.6,50.2,2.51,5.36,5.9,5.98,0.22,0.47,0.52,0.52,0.09,0.2,0.22,0.22,17.98,38.57,42.46,43.08,173,370,407.49,412.86,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.6.3.3, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",15.9,9.3,0.39,1.42,4.3,12.6,16.4,0.08,0.25,1.49,37.87,480,JPG,,Shepparton,Victoria,145.3977618,-36.3723079
26,Flooded gum chips,Forestry,Mixed,Hardwood (Eucalyptus),VIC,Shepparton,36,B70,"Eucalyptus Grandis (flooded gum, ALTRIG species) whole tree wood chips, includes wood, branches, leaves and sticks. Sample was a 3 yr growth in a short rotation crop (SRC) effluent irrigated trial in Shepparton","Sample sent by Tom Baker, Centre for Forest Tree Technology. Tom has been doing trials at shpperton for at least 9 years, was helpful in providing samples. The harvester that helped obtain sample was Jim Robinso.",Eucalypt,chips,SSH,8/09/2020,56.9,9.7,0.8,1.7,1.9,34.9,73.2,81.1,82.6,7.4,15.4,17,17.4,8.58,17.97,19.9,20.28,2050,4292,4754,4844,21.6,45.2,50.1,51,2.56,5.36,5.94,6.05,0.21,0.45,0.5,0.51,0.11,0.22,0.24,0.24,17.82,37.37,41.32,42.2,177,370,409.75,417.68,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.6.3.3, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",10.6,7.7,0.93,4.2,4.1,15.5,20.4,0.07,0.33,1.87,34.3,489,JPG,,Shepparton,Victoria,145.3977618,-36.3723079
27,Blue gum logs,Forestry,Stem,Hardwood (Eucalyptus),VIC,Shepparton,37,B72,Eucalyptus Globulus (blue gum) ~6 inch logs. Sample was a 3 yr growth in a short rotation crop (SRC) effluent irrigated trial in Shepparton. Growing density: 1333 stems/ha,"Sample sent by Tom Baker, Centre for Forest Tree Technology. Tom has been doing trials at shpperton for at least 9 years, was helpful in providing samples. This sample is the bark from short rotation crops (SRC) trial in Shepparton. Harvested Sep 2002.",Eucalypt,other,SSH,8/09/2020,37.8,9.1,0.4,0.6,0.7,52.8,77.2,84.9,85.5,9,13.1,14.4,14.5,11.73,17.14,18.86,18.98,2802,4094,4504,4535,30.4,44.4,48.8,49.2,3.68,5.38,5.92,5.96,0.18,0.26,0.29,0.29,0.1,0.14,0.15,0.15,27.44,40.12,44.14,44.4,116,170,187.02,188.34,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.6.3.3, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",8.1,10.2,0.51,1.08,4.6,18,13.9,0.76,0.27,5,37.58,498,JPG,,Shepparton,Victoria,145.3977618,-36.3723079
28,Blue Gum Logs,Forestry,Stem,Hardwood (Eucalyptus),VIC,Shepparton,38,B74,Eucalyptus Globulus (blue gum) ~6 inch logs. Sample was a 3 yr growth in a short rotation crop (SRC) effluent irrigated trial in Shepparton. Growing density 2667 stems/ha,"Sample sent by Tom Baker, Centre for Forest Tree Technology. Tom has been doing trials at shpperton for at least 9 years, was helpful in providing samples. This sample is the bark from short rotation crops (SRC) trial in Shepparton. Harvested Sep 2002.",Eucalypt,other,SSH,8/09/2020,53.1,8,0.4,0.8,0.9,39.6,77.6,84.3,85.1,6.9,13.6,14.8,14.9,9.51,18.65,20.27,20.45,2272,4454,4842,4884,24.5,48.1,52.3,52.7,2.63,5.15,5.6,5.65,0.15,0.29,0.32,0.32,0.07,0.14,0.15,0.15,19.15,37.52,40.73,41.18,97,190,206.52,208.4,"Analysed in accordance with Australian Standard Methods AS1038.1, AS1038.3, AS1038.5, AS1038.6.3.3, AS1038.7. Total sulfur and chlorine in biomass were determined by ICP-AES. Biomass was combusted in the presence of Eschka's mixture and the residue dissolved in acid to obtain solutions suitable for analysis. The CSIRO procedures are NATA certified.",7,8.1,0.7,1.67,5.8,21.1,14,0.5,0.16,2.01,38.96,507,JPG,,Shepparton,Victoria,145.3977618,-36.3723079
